timeDifference,chapter,timeDuration,start,finish,second
0:00:03,3,01:28:07-01:28:10,01:28:07,01:28:10,3
0:00:06,5,01:28:10-01:28:16,01:28:10,01:28:16,6
0:00:24,3,01:28:16-01:28:40,01:28:16,01:28:40,24
0:00:10,2,01:28:40-01:28:50,01:28:40,01:28:50,10
0:00:42,3,01:28:50-01:29:32,01:28:50,01:29:32,42
0:03:12,2,01:29:32-01:32:44,01:29:32,01:32:44,192
0:00:43,5,01:32:44-01:33:27,01:32:44,01:33:27,43
0:00:09,4,01:33:27-01:33:36,01:33:27,01:33:36,9
0:00:12,2,01:33:36-01:33:48,01:33:36,01:33:48,12
0:00:37,5,01:33:48-01:34:25,01:33:48,01:34:25,37
0:00:55,4,01:34:25-01:35:20,01:34:25,01:35:20,55
0:00:26,5,01:35:20-01:35:46,01:35:20,01:35:46,26
0:00:09,2,01:35:46-01:35:55,01:35:46,01:35:55,9
0:00:26,1,01:35:55-01:36:21,01:35:55,01:36:21,26
0:00:42,4,01:36:21-01:37:03,01:36:21,01:37:03,42
0:00:32,2,01:37:03-01:37:35,01:37:03,01:37:35,32
0:00:39,6,01:37:35-01:38:14,01:37:35,01:38:14,39
0:00:41,5,01:38:14-01:38:55,01:38:14,01:38:55,41
0:01:02,6,01:38:55-01:39:57,01:38:55,01:39:57,62
0:01:01,5,01:39:57-01:40:58,01:39:57,01:40:58,61
0:00:30,6,01:40:58-01:41:28,01:40:58,01:41:28,30
0:00:50,5,01:41:28-01:42:18,01:41:28,01:42:18,50
0:00:12,6,01:42:18-01:42:30,01:42:18,01:42:30,12
0:00:59,2,01:42:30-01:43:29,01:42:30,01:43:29,59
0:00:42,1,01:43:29-01:44:11,01:43:29,01:44:11,42
0:00:59,5,01:44:11-01:45:10,01:44:11,01:45:10,59
0:00:38,3,01:45:10-01:45:48,01:45:10,01:45:48,38
0:01:09,6,01:45:48-01:46:57,01:45:48,01:46:57,69
0:00:29,5,01:46:57-01:47:26,01:46:57,01:47:26,29
0:00:34,3,01:47:26-01:48:00,01:47:26,01:48:00,34
0:00:51,6,01:48:00-01:48:51,01:48:00,01:48:51,51
0:00:27,5,01:48:51-01:49:18,01:48:51,01:49:18,27
0:01:22,6,01:49:18-01:50:40,01:49:18,01:50:40,82
0:00:59,3,01:50:40-01:51:39,01:50:40,01:51:39,59
0:01:16,6,01:51:39-01:52:55,01:51:39,01:52:55,76
0:00:46,3,01:52:55-01:53:41,01:52:55,01:53:41,46
0:00:29,5,01:53:41-01:54:10,01:53:41,01:54:10,29
0:00:50,3,01:54:10-01:55:00,01:54:10,01:55:00,50
0:01:03,5,01:55:00-01:56:03,01:55:00,01:56:03,63
0:00:13,2,01:56:03-01:56:16,01:56:03,01:56:16,13
0:00:16,3,01:56:16-01:56:32,01:56:16,01:56:32,16
0:00:51,5,01:56:32-01:57:23,01:56:32,01:57:23,51
0:01:29,6,01:57:23-01:58:52,01:57:23,01:58:52,89
0:01:20,5,01:58:52-02:00:12,01:58:52,02:00:12,80
0:00:09,2,02:00:12-02:00:21,02:00:12,02:00:21,9
0:00:11,1,02:00:21-02:00:32,02:00:21,02:00:32,11
0:00:11,2,02:00:32-02:00:43,02:00:32,02:00:43,11
0:00:07,5,02:00:43-02:00:50,02:00:43,02:00:50,7
0:00:15,6,02:00:50-02:01:05,02:00:50,02:01:05,15
0:00:10,5,02:01:05-02:01:15,02:01:05,02:01:15,10
0:00:20,2,02:01:15-02:01:35,02:01:15,02:01:35,20
0:00:12,1,02:01:35-02:01:47,02:01:35,02:01:47,12
0:00:02,2,02:01:47-02:01:49,02:01:47,02:01:49,2
0:01:44,3,02:01:49-02:03:33,02:01:49,02:03:33,104
0:00:42,4,02:03:33-02:04:15,02:03:33,02:04:15,42
0:00:09,1,02:04:15-02:04:24,02:04:15,02:04:24,9
0:01:23,4,02:04:24-02:05:47,02:04:24,02:05:47,83
0:00:25,3,02:05:47-02:06:12,02:05:47,02:06:12,25
0:00:37,4,02:06:12-02:06:49,02:06:12,02:06:49,37
0:00:33,3,02:06:49-02:07:22,02:06:49,02:07:22,33
0:01:34,4,02:07:22-02:08:56,02:07:22,02:08:56,94
0:00:36,3,02:08:56-02:09:32,02:08:56,02:09:32,36
0:00:47,1,02:09:32-02:10:19,02:09:32,02:10:19,47
0:00:47,3,02:10:19-02:11:06,02:10:19,02:11:06,47
0:00:50,4,02:11:06-02:11:56,02:11:06,02:11:56,50
0:00:54,3,02:11:56-02:12:50,02:11:56,02:12:50,54
0:01:12,4,02:12:50-02:14:02,02:12:50,02:14:02,72
0:00:31,3,02:14:02-02:14:33,02:14:02,02:14:33,31
0:00:39,1,02:14:33-02:15:12,02:14:33,02:15:12,39
0:02:16,3,02:14:02-02:16:18,02:14:02,02:16:18,136
0:01:27,1,02:16:18-02:17:45,02:16:18,02:17:45,87
0:00:24,6,02:17:45-02:18:09,02:17:45,02:18:09,24
0:00:14,5,02:18:09-02:18:23,02:18:09,02:18:23,14
